phase,context,init_name,init_mode,partial_init_mode,broyden_iterations,miou,notes
phase0_global,10f,zero,zero,,2,0.1065,"full_sweep_runner, 48.5 min"
phase1_leave_one_scale,1f,drop_scale0_previous,partial,drop_scale0_previous,8,0.7742,"full_sweep_runner, 27.5 min"
phase1_leave_one_scale,5f,drop_scale3_previous,partial,drop_scale3_previous,4,0.6688,"full_sweep_runner, 43.7 min"
phase1_three_scale,2f,only_scale0_previous,partial,only_high_resolution_previous,8,0.7355,"full_sweep_runner, 40.6 min"
phase1_leave_one_scale,1f,drop_scale1_previous,partial,drop_scale1_previous,8,0.7659,"full_sweep_runner, 27.6 min"
phase0_global,10f,stale_k2,stale,,2,0.5097,"full_sweep_runner, 47.4 min"
phase1_three_scale,2f,only_scale1_previous,partial,only_scale1_previous,8,0.7552,"full_sweep_runner, 40.5 min"
phase1_two_scale,5f,scale0_scale1_previous,partial,fine_previous_coarse_zero,4,0.5780,"full_sweep_runner, 44.2 min"
phase1_leave_one_scale,1f,drop_scale2_previous,partial,drop_scale2_previous,8,0.7721,"full_sweep_runner, 27.5 min"
phase1_leave_one_scale,1f,drop_scale3_previous,partial,drop_scale3_previous,8,0.7685,"full_sweep_runner, 27.5 min"
phase1_three_scale,2f,only_scale2_previous,partial,only_scale2_previous,8,0.7460,"full_sweep_runner, 40.4 min"
phase1_leave_one_scale,10f,drop_scale0_previous,partial,drop_scale0_previous,2,0.5866,"full_sweep_runner, 48.3 min"
phase1_two_scale,5f,scale0_scale2_previous,partial,scale0_scale2_previous,4,0.5371,"full_sweep_runner, 44.7 min"
phase1_two_scale,1f,scale0_scale1_previous,partial,fine_previous_coarse_zero,8,0.7539,"full_sweep_runner, 27.3 min"
phase1_three_scale,2f,only_scale3_previous,partial,only_low_resolution_previous,8,0.7490,"full_sweep_runner, 40.1 min"
phase1_two_scale,5f,scale0_scale3_previous,partial,scale0_scale3_previous,4,0.5115,"full_sweep_runner, 39.8 min"
phase1_two_scale,1f,scale0_scale2_previous,partial,scale0_scale2_previous,8,0.7519,"full_sweep_runner, 27.5 min"
phase1_leave_one_scale,10f,drop_scale1_previous,partial,drop_scale1_previous,2,0.4071,"full_sweep_runner, 47.7 min"
